CustomerID,frequency,recency,T,monetary_value,Probability_Alive,Churn_Probability,Predicted_Purchases_90D,Predicted_CLV_90D,Country
12347,6.0,365.0,368.0,599.7016666666667,0.9980587298259425,0.001941270174057541,1.4930462546715018,834.2684108950043,Iceland
12348,3.0,283.0,359.0,301.48,0.9895297829548987,0.010470217045101315,0.9387850512660706,307.18953938785626,Finland
12352,6.0,260.0,297.0,368.25666666666666,0.9960661508849616,0.003933849115038357,1.7499971421634588,645.3596793881206,Norway
12356,2.0,303.0,326.0,269.90500000000003,0.9899693940773178,0.010030605922682234,0.8057450157873279,255.9591594091187,Portugal
12358,1.0,149.0,151.0,683.2,0.9453416335684679,0.0546583664315321,0.9580275915002642,507.0797719440393,Austria
12359,3.0,274.0,332.0,1941.6933333333334,0.9912295571593533,0.008770442840646653,0.9978238352167167,1482.0840891352261,Cyprus
12360,2.0,148.0,201.0,789.24,0.9831686122084717,0.016831387791528263,1.1215980671354033,717.098699498873,Austria
12362,9.0,292.0,296.0,527.4588888888889,0.998696877783659,0.0013031222163409906,2.423335253358182,1222.974221029568,Belgium
12363,1.0,133.0,243.0,252.9,0.8545933156798987,0.1454066843201013,0.6406460212506998,214.28295230538436,Unspecified
12364,3.0,105.0,113.0,229.7266666666667,0.9947437345845852,0.005256265415414796,1.9843641095297448,548.7945256416085,Belgium
12370,3.0,309.0,361.0,651.6233333333333,0.9921929017260703,0.007807098273929669,0.9373157915885217,538.435335211413,Cyprus
12371,1.0,15.0,60.0,360.0,0.8769681881675226,0.12303181183247736,1.3635117681627953,522.1862671345998,Switzerland
12372,2.0,225.0,297.0,449.41,0.9826529140838773,0.017347085916122662,0.8567416987267549,367.4191554869951,Denmark
12375,1.0,88.0,99.0,227.20000000000002,0.9378160653989581,0.06218393460104188,1.1864302779114568,383.03444328246917,Finland
12377,1.0,39.0,355.0,626.6,0.38065421828163837,0.6193457817183616,0.21670844617155133,109.1489368182128,Switzerland
12379,1.0,89.0,171.0,392.4,0.8646373557981177,0.13536264420188227,0.8139710651900637,323.66568518236073,Belgium
12380,3.0,164.0,186.0,705.7533333333332,0.9935774810634782,0.006422518936521793,1.4933321757599374,914.9124276144591,Belgium
12381,4.0,115.0,120.0,144.14249999999998,0.9965719387004807,0.003428061299519336,2.3178947164641737,467.3928630192995,Norway
12383,4.0,168.0,353.0,312.46,0.9407958948331594,0.059204105166840604,1.0870847331109466,358.11253864785596,Belgium
12384,1.0,93.0,122.0,292.58000000000004,0.9226430084075116,0.07735699159248843,1.0516994629599372,370.6672831702423,Switzerland
